#controlledVocabulary,DatasetField,Value,identifier,displayOrder
,subject,Agricultural Sciences,D01,0
,subject,Arts and Humanities,D0,1
,subject,Astronomy and Astrophysics,D1,2
,subject,Business and Management,D2,3
,subject,Chemistry,D3,4
,subject,Computer and Information Science,D7,5
,subject,Earth and Environmental Sciences,D4,6
,subject,Engineering,D5,7
,subject,Law,D8,8
,subject,Mathematical Sciences,D9,9
,subject,"Medicine, Health and Life Sciences",D6,10
,subject,Physics,D10,11
,subject,Social Sciences,D11,12
,subject,Other,D12,13
,publicationIDType,ark,,0
,publicationIDType,arXiv,,1
,publicationIDType,bibcode,,2
,publicationIDType,doi,,3
,publicationIDType,ean13,,4
,publicationIDType,eissn,,5
,publicationIDType,handle,,6
,publicationIDType,isbn,,7
,publicationIDType,issn,,8
,publicationIDType,istc,,9
,publicationIDType,lissn,,10
,publicationIDType,lsid,,11
,publicationIDType,pmid,,12
,publicationIDType,purl,,13
,publicationIDType,upc,,14
,publicationIDType,url,,15
,publicationIDType,urn,,16
,publicationIDType,DASH-NRS,,17
,contributorType,Data Collector,,0
,contributorType,Data Curator,,1
,contributorType,Data Manager,,2
,contributorType,Editor,,3
,contributorType,Funder,,4
,contributorType,Hosting Institution,,5
,contributorType,Project Leader,,6
,contributorType,Project Manager,,7
,contributorType,Project Member,,8
,contributorType,Related Person,,9
,contributorType,Researcher,,10
,contributorType,Research Group,,11
,contributorType,Rights Holder,,12
,contributorType,Sponsor,,13
,contributorType,Supervisor,,14
,contributorType,Work Package Leader,,15
,contributorType,Other,,16
,authorIdentifierScheme,ORCID,,0
,authorIdentifierScheme,ISNI,,1
,authorIdentifierScheme,LCNA,,2
,authorIdentifierScheme,VIAF,,3
,authorIdentifierScheme,GND,,4
,authorIdentifierScheme,DAI,,5
,authorIdentifierScheme,ResearcherID,,6
,authorIdentifierScheme,ScopusID,,7
,language,Abkhaz,,0
,language,Afar,,1
,language,Afrikaans,,2
,language,Akan,,3
,language,Albanian,,4
,language,Amharic,,5
,language,Arabic,,6
,language,Aragonese,,7
,language,Armenian,,8
,language,Assamese,,9
,language,Avaric,,10
,language,Avestan,,11
,language,Aymara,,12
,language,Azerbaijani,,13
,language,Bambara,,14
,language,Bashkir,,15
,language,Basque,,16
,language,Belarusian,,17
,language,"Bengali, Bangla",,18
,language,Bihari,,19
,language,Bislama,,20
,language,Bosnian,,21
,language,Breton,,22
