#datasetField,name,title,description,watermark,fieldType,displayOrder,displayFormat,advancedSearchField,allowControlledVocabulary,allowmultiples,facetable,displayoncreate,required,parent,metadatablock_id,termURI
,title,Title,The main title of the Dataset,,text,0,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,citation,http://purl.org/dc/terms/title
,subtitle,Subtitle,A secondary title that amplifies or states certain limitations on the main title,,text,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,citation,
,alternativeTitle,Alternative Title,Either 1) a title commonly used to refer to the Dataset or 2) an abbreviation of the main title,,text,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,citation,http://purl.org/dc/terms/alternative
,alternativeURL,Alternative URL,"Another URL where one can view or access the data in the Dataset, e.g. a project or personal webpage",https://,url,3,"<a href=""#VALUE"" target=""_blank"">#VALUE</a>",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,citation,https://schema.org/distribution
,otherId,Other Identifier,Another unique identifier for the Dataset (e.g. producer's or another repository's identifier),,none,4,:,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,citation,
,otherIdAgency,Agency,The name of the agency that generated the other identifier,,text,5,#VALUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,otherId,citation,
,otherIdValue,Identifier,Another identifier uniquely identifies the Dataset,,text,6,#VALUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,otherId,citation,
,author,Author,"The entity, e.g. a person or organization, that created the Dataset",,none,7,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,citation,http://purl.org/dc/terms/creator
,authorName,Name,"The name of the author, such as the person's name or the name of an organization","1) Family Name, Given Name or 2) Organization XYZ",text,8,#VALUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,author,citation,
,authorAffiliation,Affiliation,"The name of the entity affiliated with the author, e.g. an organization's name",Organization XYZ,text,9,(#VALUE),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,author,citation,
,authorIdentifierScheme,Identifier Type,"The type of identifier that uniquely identifies the author (e.g. ORCID, ISNI)",,text,10,- #VALUE:,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,author,citation,http://purl.org/spar/datacite/AgentIdentifierScheme
,authorIdentifier,Identifier,Uniquely identifies the author when paired with an identifier type,,text,11,#VALUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,author,citation,http://purl.org/spar/datacite/AgentIdentifier
,datasetContact,Point of Contact,"The entity, e.g. a person or organization, that users of the Dataset can contact with questions",,none,12,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,citation,
,datasetContactName,Name,"The name of the point of contact, e.g. the person's name or the name of an organization","1) FamilyName, GivenName or 2) Organization",text,13,#VALUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,datasetContact,citation,
,datasetContactAffiliation,Affiliation,"The name of the entity affiliated with the point of contact, e.g. an organization's name",Organization XYZ,text,14,(#VALUE),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,datasetContact,citation,
,datasetContactEmail,E-mail,The point of contact's email address,name@email.xyz,email,15,#EMAIL,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,datasetContact,citation,
,dsDescription,Description,"A summary describing the purpose, nature, and scope of the Dataset",,none,16,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,citation,
,dsDescriptionValue,Text,"A summary describing the purpose, nature, and scope of the Dataset",,textbox,17,#VALUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,dsDescription,citation,
,dsDescriptionDate,Date,"The date when the description was added to the Dataset. If the Dataset contains more than one description, e.g. the data producer supplied one description and the data repository supplied another, this date is used to distinguish between the descriptions",YYYY-MM-DD,date,18,(#VALUE),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,dsDescription,citation,
,subject,Subject,The area of study relevant to the Dataset,,text,19,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,citation,http://purl.org/dc/terms/subject
,keyword,Keyword,A key term that describes an important aspect of the Dataset and information about any controlled vocabulary used,,none,20,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,citation,
,keywordValue,Term,A key term that describes important aspects of the Dataset,,text,21,#VALUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,keyword,citation,
,keywordVocabulary,Controlled Vocabulary Name,"The controlled vocabulary used for the keyword term (e.g. LCSH, MeSH)",,text,22,(#VALUE),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,keyword,citation,
